Key,Translation,Version,Comment (context for translators)
codex.m.environment.oxygen.desc,"Zuurstof is een essentieel gas voor het voortbestaan van biologische wezens. Uitwisseling van zuurstof gebeurt voortdurend tussen naburige tegels, afhankelijk van hun niveau van <b>Luchtdichtheid</b>. Als een omgeving blootgesteld staat aan <b>Ruimte</b> zal zuurstof weglekken. Extreme hitte in combinatie met zuurstof zal aanleiding geven tot vuur.<br><br><br>Controleer <b>{0}</b> en <b>{1}</b> schermen of druk {2} en beweeg de muisaanwijzer over de omgevingen om de zuurstofniveau’s en luchtdichtheden te zien.",2023-08-29,
codex.m.inputcontrols,,,
codex.m.inputcontrols.gamepad,,,
codex.m.inputcontrols.gamepad.desc,,,
codex.m.inputcontrols.modifiers,,,
codex.m.inputcontrols.modifiers.desc,,,
codex.m.inputcontrols.mouseandkeyboard,,,
codex.m.inputcontrols.mouseandkeyboard.desc,,2022-05-11,
codex.m.research,,,
codex.m.research.disk,,,
codex.m.research.disk.desc,,,
codex.m.research.search,,,
codex.m.research.search.desc,,,
codex.m.research.tiers,,,
codex.m.research.tiers.desc,,,
codex.m.resources,,,
codex.m.resources.crafting,Vervaardigen (produceren) van grondstoffen,,
codex.m.resources.crafting.desc,,,
codex.m.resources.deconstruction,,,
codex.m.resources.deconstruction.desc,,,
codex.m.resources.inventory,,,
codex.m.resources.inventory.desc,,2023-08-29,
codex.m.resources.miningplanets,,,
codex.m.resources.processing,Verwerken van Grondstoffen,,
codex.m.resources.processing.desc,Sommige grondstoffen kunnen worden verwerkt tot meer verfijnde grondstoffen die later kunnen worden gebruikt als ingrediënten voor het maken van voorwerpen of voor andere doeleinden. Verwerking is meestal nodig voor ruwe grondstoffen zoals ertsen of ruwe olie.<br><br>Voor verwerking is een geschikte faciliteit nodig (bijvoorbeeld een oven voor ertsen). Raadpleeg de Codex-vermeldingen voor verschillende grondstoffen om te achterhalen welk type verwerkingsfaciliteit compatibel is.<br><br>Je kunt dode wezens verwerken in een Nutriënt Extractor en dode robots en drones in een demontagemachine.<br><br>Sommige grondstoffen leveren meerdere of variabele materialen op na verwerking. Het verwerken van gesteente in een slijpmachine kan een aantal verschillende materialen opleveren. Raadpleeg de Codex-vermeldingen van elk materiaal voor meer informatie.,,
codex.m.resources.trade,,,
codex.m.resources.trade.desc,,,
codex.m.spacetravel,,,
codex.m.spacetravel.enginetypes,,,
codex.m.spacetravel.starmap,,2023-08-29,
codex.m.spacetravel.starmap.desc,,2023-08-29,
codex.m.storyevents,Verhaalevenementen,,
codex.m.ui,,,
codex.m.ui.basics,,,
codex.m.ui.basics.desc,,,
codex.m.ui.cameramemory,,,
codex.m.ui.cameramemory.desc,,,
codex.m.ui.commonactions,,,
codex.m.ui.commonactions.desc,,,
codex.m.ui.contextmenu,,,
codex.m.ui.contextmenu.desc,,,
codex.m.ui.hotbar,,,
codex.m.ui.hotbar.desc,,2023-08-16,
codex.m.ui.infopanel,,,
codex.m.ui.infopanel.desc,,2023-08-14,
codex.m.ui.overlays,,,
codex.m.ui.overlays.desc,,2023-08-29,
codex.m.ui.quicksearch,,,
codex.m.ui.quicksearch.desc,,2023-08-29,
codex.m.ui.radialmenu,,2023-08-16,
codex.m.ui.radialmenu.desc,,,
codex.m.ui.timecontrols,,,
codex.m.ui.timecontrols.desc,,2022-12-12,
codex.m.ui.uiscaling,,,
codex.m.ui.uiscaling.desc,,,
codex.m.whattodo,,,
codex.m.whattodo.suggestions,,,
codex.m.whattodo.suggestions.desc,,2023-08-29,
codex.m.workers,"Werkers (Robots, Drones)",,
codex.m.workers.abilitytofly,,,
codex.m.workers.abilitytofly.desc,,,
codex.m.workers.controlling,,,
codex.m.workers.managedandunmanaged,,,
codex.m.workers.managedandunmanaged.desc,,,
codex.m.workers.needs,,,
codex.m.workers.needs.desc,,2023-08-29,
codex.m.workers.priorities,,,
codex.m.workers.priorities.desc,,,
codex.m.workers.production,,,
codex.m.workers.production.desc,,,
codex.m.workers.skills,,,
codex.m.workers.skills.desc,,,
codex.manual,,2022-04-01,
codex.mark.learned,,,
codex.materials,Materialen,,
codex.species,Soorten,,
codex.Tips,Tips,,
codex.unlearn,Vergeten,,
collecting.mat,Verzamelen van {0},,
colonists.from.stasis.array,,,
colony.event,,,
color.alpha,Helderheid,,
color.Black,Zwart,,
color.Blue,Blauw,,
color.Green,Groen,,
color.Grey,Grijs,,
color.Orange,Oranje,,
color.Pink,Roze,,
color.Purple,Paars,,
color.Red,Rood,,
color.Violet,Violet,,
color.White,Wit,,
color.Yellow,Geel,,
combat.controls,,,
combat.squad,,,
combat.state.AttachToPrey,,,For showing a combat state when a Crawler is attached to a human's face (like a face hugger)
combat.state.BreakIn,,,
combat.state.Escape,,,
combat.state.FindEnemy,,,
combat.state.FindLoot,,,
combat.state.HighAlert,,,
combat.state.LoadLoot,,,
combat.state.MeleeAttack,,,
combat.state.RangedAttack,,,
combat.state.Regroup,,,
combat.state.SuicideBomb,,,
comfortable.temp,,,
comfortable.work.spot,,,
communicator.missing,,,
communicator.missing.info,,,
compatible.objects,,,
computer.resources,,,
computer.resources.cpu,,,
computer.resources.info,,2022-08-18,
computer.resources.memory,,,
computer.resources.storage,,2022-08-18,
condition,,,
confirm,,,
confirm.expedition,,,
confirm.mass.order,,,
confirm.mass.processing,,,
confirm.object.removal,,,
confirm.object.removal.info,,2022-08-18,
connect.to.refuel,,,"A label displayed in the menu when you have a disconnected device that needs fuel. You cannot refuel it while it is disconnected, so you have to ""connect to refuel"""
connected.to.count,Verbonden met,,
construct,Bouw,,
construct.find.materials,Vind Materialen,,
construct.object,Maak Object,,
construction.complete,Volledig geassembleerd,,
construction.cost,Onderdelen,,
construction.pending,,,
construction.progress,,,
contains.materials,Bevat Materialen,,
content,Inhoud,,"For a label of a text area where player has to enter the ""content"" of some message"
contents,Inhoud,,For a label before a list of items that are inside some container
continue,Verder spelen,,
contribute.translation,Werk aan Vertaling,,
controllable.worker,Bestuurbare Robot,,
convert,,,
converting.now,,,
cook,,,
cooking.bar,,,
,,,
,,,
,,,
,,,
cooler,,,"A device type, noun. Opposite of ""Heater"". Device that cools the area down, reduces temperature."
copied.to.clipboard,,,
copied.to.clipboard.info,,,
copy.color.hex,,,
copy.config,,,
copy.config.cleanable,,,"Most ""copy.config.X"" keys are used in combination with ""copy.config.of"" key (which is ""Copy Config: {0}""). In this case the copy config action target is a cleanable device (i.e. a toilet or a solar panel). The value of this translation will be placed into {0} variable of ""copy.config.of"", so in this case it will become ""Copy Config: Cleanable"". This text will be displayed on a button that copies the configuration of the cleanable device and then lets you paste it onto other devices of same type."
copy.config.energy.node,,,
copy.config.fluid.cannon,,,
copy.config.help,,,
copy.config.light,,,
copy.config.lock.state,,,"This one is like ""copy.config.cleanable"" but the target device is a door. The door lock state can be ""Locked"" or ""Unlocked"", so when you get a menu of the door options, there will be a button saying ""Copy Config: Lock State"". You can then paste the lock state on other doors that can be locked or unlocked."
copy.config.matter.reactor,,2022-08-13,
copy.config.of,,,
copy.config.particle.collector,,,
copy.config.pet.bowl,,,
copy.config.planter,,,
copy.config.solar.panel,,,
copy.config.terraformer,,,
copy.emblem,,,
copy.game.seed,,,
copy.id,,,
copy.to.clipboard,,,
cosmetic.particles,,,
cosmetic.particles.tip,,,
could.not.cancel.exp.stage,,,
countdown.minutes,,,
cpu.efficiency,,,
cpu.module.amount,,,
cpu.module.builtin,,,
craft,Maken,,
crafted.in,Gemaakt in: {0},,
credits,,,"A header before list of names of people who have to be credited for doing something (i.e. translating the game). Used in Main Menu > About > Credits, or when the game end screen is displayed."
crew.incapable.of.mining,,,
cryo.not.enough.power,,,
cryo.not.enough.power.desc,,,
cryo.stability,Cryostabiliteit,,
cryo.stability.average,Stabiliteit: Gemiddeld,,
cryo.stability.desc,"Toont hoe stabiel de levensonderhoudsystemen zijn. Onstabiele cryokamers zullen kolonisten regelmatiger uitwerken en met meer ernstige condities. Om de stabiliteit te verhogen zet Levensonderhoud van basis naar geavanceerd. Het zal meer energie verbruiken, maar de stabiliteit zal langzaam verbeteren.",,
cryo.stability.good,Stabiliteit: Goed,,
cryo.stability.great,Stabiliteit: Fantastisch,,
cryo.stability.poor,Stabiliteit: Zwak,,
cryo.stability.unstable,Stabiliteit: instabiel,,
cryo.used,Gebruikte Kamers,,"There is a device called ""Stasis Array"" that has multiple ""chambers"" where people can get frozen for long term sleep. ""Used Chambers"" is a label before the number telling how many of those chambers are currently occupied."
cryo.used.desc,Toont het aantal Statis Kamers momenteel bezet door levende wezens. Kamers kunnen mensen of dieren bevatten.,,
ctrl.assign.task,,,
currency.Starcreds,,,
currency.Starcreds.desc,,,
current.expeditions,Huidige Expedities,,
current.items.produced,,,
current.mood.trend,,,
cursor.light,,,
cursor.light.tip,,,
cursor.software,,,
cutoff.ambience,,,"Cutoff refers to audio low-pass filter frequency: In a lowpass filter, the higher the cutoff frequency is set, the higher the frequencies of signals that are allowed to pass. Ambience in this case is sounds coming from various devices, like machines or engines humming. The context for ""Zoom Cutoff for Ambience"" - it is used as a label for a checkbox in audio settings. If checked, when camera is zooming, ambience audio gets the cutoff (muffled sound) effect when camera distance changes."
cutoff.fx,,,
cutoff.music,,,
cycle.blueprint.tip,,,
cycle.placement.mode.tip,,,
damage.type.Acid,Zuur,,
damage.type.Age,Leeftijd,,
damage.type.Cold,Koude,,
damage.type.Electricity,Elektrische schok,,
damage.type.Heat,Hitte,,
damage.type.Hunger,Ondervoeding,,
damage.type.Oxygen,Verstikking,,
damage.type.Physical,Fysisch,,
damage.type.Sickness,Ziekte,,
damage.type.Stasis,Stasis,,
damage.type.Undefined,Ongekend,,
damage.type.Water,Water,,
damageable,Beschadigbaar,,
damaged,Beschadigd,,
day,Dag,,
deactivate,Uitschakelen,,
deactivate.siren,Sirene uitschakelen,,
dead,Dood,,
death.cause,Doodsoorzaak: {0},,
deconstruct,Ontmantelen,,
deconstruction.not.allowed.temp,{0} is in een status dat afbreken niet toelaat. Gelieve later opnieuw te proberen.,,
deconstruction.progress,,,
decrease,,,
decrease.amount,,,
delete,Verwijder,,
delete.save,Verwijderen opgeslagen spel,,
demand.type.Custom,,,"demand.type.X keys are for options used in crafting devices to select how many items do we want to produce. ""Produce Custom Amount"" does what demand.type.Custom.tip says - the device will produce X items and stop. This configuration option is per device, unlike ""Target Global Inventory"" it will calculate how many items that particular device has produced."
demand.type.Custom.tip,,,
demand.type.Limit,,,"like demand.type.Custom, but instead of a custom amount for a particular crafting device, it will track your inventory, so if you have 3 devices that produce ""copper wire"", and you set all of those devices to ""Target Global Inventory"" of 10 items, all the devices will stop producing new ""copper wire"" after you have a total of 10."
demand.type.Limit.tip,,,
demand.type.One,,,"like demant.type.Custom, but it does not let you choose the amount, it will stop after producing one item"
demand.type.One.tip,,,
demand.type.Unlimited,,,"like demand.type.Custom, but it does not let you choose the amount, it will keep producing the copies of the item forever (or until you change the configuration)"
demand.type.Unlimited.tip,,,
demo.mode,Demo Modus,,
demo.mode.off,Demo Modus UIT,,
demo.mode.on,Demo Modus AAN<br>(Zet uit met: Ctrl + F9),,
destroy,Vernietig,,
details,Details,,
dev.build.instant,,,
dev.debug,,,
dev.menu.achievements.warning,,,
dev.notice,,,
device.battery.level,Batterij: {0} ({1}),,
device.health,Gezondheid: {0},,
device.idle,,2022-10-29,"Example: ""Furnace (Iron) is idle"""
device.wear,,,
device.wear.tip,,,
device.wear.warning,,,
device.worn.out,,,
different.section,,,"shows up in the list of reasons why someone did not perform a task. ""Different section"" in this context means that the worker was in section A, while task was in section B. Different sections can only be reached by flying, so worker that will not do the task for this reason will almost always be someone who is incapable of flying"
difficulty.balanced,Gebalanceerd,,"Shows up in the list of game difficulty levels. Balanced is like ""medium difficulty"""
difficulty.challenging,Uitdagend,,"Shows up in the list of game difficulty levels. Challenging is like ""hard difficulty"""
difficulty.relaxing,Relaxerend,,"Shows up in the list of game difficulty levels. Relaxing is like ""easy difficulty"""
direct.control,,,"A text on a button that enables ""direct control"" of a robot. ""Direct control"" allows issuing orders directly to the selected robot. Otherwise robots make choices and perform actions on their own."
direct.control.desc,,2022-10-31,
direction.east,Oost,,"Noun. direction.X keys are used on buttons that allow you to select your space ship's ""forward direction"". It tells which way the ship's front is facing. Engines will be on the opposite direction, etc."
direction.north,Noord,,
direction.south,Zuid,,
direction.west,West,,
dirt,Vuil,,
dirt.desc,Vuil stickers,,"Decals in game development are textures that are placed on top of other textures to add various marks (bullet damage, blood, dirt, etc). In this case it is for menu item that allows spawning dirt on the floor."
disable.achievements,Achievements uitschakelen,,
disable.achievements.tip,,,
disable.force.field,,,
disable.merchant.beacon,,,
disabled.in.tutorial,,,
disassemble,,,
disassembling.bar,,,
discharge.time.left,,,"A label displayed next to the time left for a force field device to be activated (because it's battery is discharging, after some time it will auto-deactivate and will have to recharge). See ""charge.time.left"" key for more context."
disconnect.all,,,
disk.compression,,,
memory.compression,,,
do.not.show.again,,,
dock,,,Verb. Displayed on an action button that tells a robot to return to a docking station.
dockable,,,Adjective. Displayed on a button that opens a submenu that contains robot's docking status and controls
docked,,,"Robot state, denoting that robot is currently inside it's designated docking station"
docking,,,"Robot state, denoting that robot is currently trying to reach it's docking station"
does.not.include.batteries,,,"This is a tooltip/balloon text, appearing when you hover cursor over the ""Max Production"" string in the Electric Grid Overlay (section Details)
It means - the value (amount of production power) does not include electric power which produced by Batteries."
dont.save,,,
door,,,
door.not.powered,,,
download.mods,,,
drag.dist.tip,,,
drag.release.build.con,,,
drag.release.build.con.tip,,,
drink.coffee,,,
drop.task,,,
duplicate.binding,,,A warning for input key binding settings. Displayed if the same button is bound to execute more than one action (which is bad). 
duplicate.binding.info,,,
dust.accumulation,,,
dust.amount,,,
dust.amount.bar,,,
dust.storm.end,Stofstorm beëindigd,,
dust.storm.ongoing,Stofstorm bezig,,"Displayed in the event list. This text is displayed for the whole duration of the dust storm, so the player can see that the dust storm did not go away yet. Should not be much longer than the English translation."
eat,Eet,,
eating,Eten,,
economy.research.required,Onderzoek “Economie” is nodig voor deze functionaliteit.,,
edge.pan.speed,,,
edge.pan.tip,,,
egg,Ei,,
eject,Uitwerpen,,
eject.ammo,Munitie Uitwerpen,,
eject.contents,Inhoud Uitwerpen,,
eject.food,Voedsel Uitwerpen,,
eject.fuel,Brandstof Uitwerpen,,
el.build.connector.here,,,Displayed in a tooltip when dragging a connector 
el.connector.fully.utilized,,,Displayed in a tooltip near mouse cursor when trying to drag and create a connection from electrical connector that has no available connection slots
el.connector.not.on.grid,,,Displayed in a tooltip when trying to drag an electrical connection from a connector that is not part of Ship Computer's electric grid. Player cannot control devices that are no connected to Ship Computer though a network.
el.connector.out.of.range,,,Displayed in a tooltip when trying to drag an electrical connection to a point where the connector cannot reach it
el.consumption.priority,,,
el.consumption.priority.desc,,,
el.device.heavily.damaged,,,Displayed in a tooltip when tryng to connect to a device that is damaged too much
el.device.not.constructed,,,Displayed when trying to connect to a device that has not been built yet
